dadgeneration	momgeneration	date	momfullcross	mommompop	mommomid	momdadpop	momdadid	dadfullcross	dadmompop	dadmomid	daddadpop	dadadid	crossid	V1	I1	V2	I2	V3	I3	V4	I4	V5	I5	V6	I6	V7	I7	V8	I8	V9	I9	V10	I10	v	i	vpf	ipf	vp	tpf	mompop	momid	dadpop	dadid	generation	mommomsp	momdadsp	dadmomsp	daddadsp	momsp	dadsp	momcross	dadcross	momdadcross
P	F	2018-09-05	892-1 x 879 2-2 ID 1	892WKG	1	879WKG	2-2 ID 1	892-10 4/3/13	NA	NA	NA	NA	113-3	20	23	25	33	18	3	19	40	21	23	23	27	22	24	26	30	27	43	32	39	23.3	28.5	5177.26	6332.7	0.44980694980694985	11509.96	NA	NA	892WKG	10 4/3/13	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	2018-08-29	892-10 x 879 10-1 ID 1	892WKG	10	879WKG	10-1 ID 1	879 2-2	NA	NA	NA	NA	118-1	6	39	7	34	7	40	4	33	3	29	7	26	7	41	3	28	4	34	4	23	5.2	32.7	1155.44	7265.9400000000005	0.13720316622691292	8421.380000000001	NA	NA	879WKG	2-2	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2018-08-29	892-3 x 879 10-1 ID 1	892WKG	3	879WKG	10-1 ID 1	879 2-2  3/25/14 C1	NA	NA	NA	NA	123-3	3	2	1	6	0	2	4	4	2	2	2	7	1	4	3	8	1	6	4	10	2.1	5.1	466.62	1133.2199999999998	0.29166666666666674	1599.8399999999997	NA	NA	879WKG	2-2  3/25/14 C1	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2018-07-10	892-3 x 879 10-1 ID 1	892WKG	3	879WKG	10-1 ID 1	879 G-2	NA	NA	NA	NA	124-2	5	8	10	12	6	17	3	19	7	27	6	16	5	19	3	15	6	21	3	15	5.4	16.9	1199.88	3755.1799999999994	0.24215246636771307	4955.0599999999995	NA	NA	879WKG	G-2	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2018-08-20	892-3 x 879 10-1 ID 1	892WKG	3	879WKG	10-1 ID 1	892-10	NA	NA	NA	NA	125-1	0	5	0	6	0	6	0	3	0	0	0	2	0	7	0	2	0	2	0	0	0	3.3	0	733.26	0	733.26	NA	NA	892WKG	10	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	2018-07-11	892-3 x 879 2-2 ID 1	892WKG	3	879WKG	2-2 ID 1	879 10-1	NA	NA	NA	NA	129-1	26	30	18	22	21	16	33	30	15	15	23	28	25	36	32	25	24	26	21	32	23.8	26	5288.360000000001	5777.200000000001	0.4779116465863454	11065.560000000001	NA	NA	879WKG	10-1	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2018-07-27	892-3 x 879 2-2 ID 1	892WKG	3	879WKG	2-2 ID 1	892-1	NA	NA	NA	NA	130-1	1	3	4	3	7	4	3	3	3	5	2	6	7	7	4	7	4	3	6	5	4.1	4.6	911.0199999999999	1022.1199999999999	0.47126436781609193	1933.1399999999999	NA	NA	892WKG	1	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	2018-07-11	892-4 x 879 G-2 ID 2	892WKG	4	879WKG	G-2 ID 2	879 10-1	NA	NA	NA	NA	136-4	31	9	32	13	32	18	41	15	26	15	24	7	36	12	48	9	23	6	31	13	32.4	11.7	7199.28	2599.74	0.7346938775510203	9799.02	NA	NA	879WKG	10-1	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2018-08-16	904-2 x 879 10-1 ID 4	904WPG	2	879WKG	10-1 ID 4	904-5 9/14/15	NA	NA	NA	NA	146-1	29	14	24	19	36	11	31	16	24	12	22	7	30	6	25	12	29	11	25	12	27.5	12	6110.5	2666.3999999999996	0.6962025316455697	8776.9	NA	NA	904WPG	5 9/14/15	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	2018-08-15	3587-7 x 879 10-1 ID 1	3587WP	7	879WKG	10-1 ID 1	3587-A	NA	NA	NA	NA	15-1	15	13	18	8	28	20	28	23	15	10	17	14	18	17	20	16	21	19	8	15	18.8	15.5	4177.36	3444.0999999999995	0.5481049562682216	7621.459999999999	NA	NA	3587WP	A	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	2018-07-30	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	879 10-1	NA	NA	NA	NA	151-1	1	1	3	3	3	4	4	4	0	2	1	3	2	4	4	4	2	1	5	4	2.5	3	555.5	666.5999999999999	0.4545454545454546	1222.1	NA	NA	879WKG	10-1	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2018-08-13	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	904-5 9/14/15	NA	NA	NA	NA	152-2	33	4	39	3	50	12	44	6	46	14	52	18	54	16	48	9	52	11	49	8	46.7	10.1	10376.74	2244.22	0.8221830985915494	12620.96	NA	NA	904WPG	5 9/14/15	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	2018-07-02	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	904-5 9/14/15	NA	NA	NA	NA	152-3	0	4	1	9	1	7	2	4	0	4	0	6	1	10	0	7	1	5	3	6	0.9	6.2	199.97999999999996	1377.6399999999999	0.1267605633802817	1577.62	NA	NA	904WPG	5 9/14/15	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	2018-07-23	904-3 x 879 10-1 ID 2	904WPG	3	879WKG	10-1 ID 2	879 2-2	NA	NA	NA	NA	157-6	12	7	3	6	9	16	12	9	4	8	10	15	9	15	14	10	5	8	10	16	8.8	11	1955.3600000000001	2444.2	0.44444444444444453	4399.5599999999995	NA	NA	879WKG	2-2	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2018-07-11	904-3 x 879 G-2 ID 3	904WPG	3	879WKG	G-2 ID 3	879 10-1	NA	NA	NA	NA	161-2	24	28	24	26	21	24	19	18	11	19	19	21	22	24	10	9	19	19	13	18	18.2	20.6	4044.0399999999995	4577.32	0.4690721649484536	8621.359999999999	NA	NA	879WKG	10-1	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2018-07-13	904-3 x 879 G-2 ID 3	904WPG	3	879WKG	G-2 ID 3	904-5 9/14/15	NA	NA	NA	NA	163-2	17	17	14	16	13	17	22	15	12	13	8	15	13	14	15	17	22	20	16	22	15.2	16.6	3377.4399999999996	3688.5199999999995	0.4779874213836478	7065.959999999999	NA	NA	904WPG	5 9/14/15	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	2018-08-23	904-3 x 879 H-2 ID 4	904WPG	3	879WKG	H-2 ID 4	879 10-1	NA	NA	NA	NA	164-1	15	3	19	14	17	7	24	9	12	6	16	12	19	11	16	5	17	8	8	4	16.3	7.9	3621.8600000000006	1755.3799999999999	0.6735537190082644	5377.240000000001	NA	NA	879WKG	10-1	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2018-08-09	3587-7 x 879 10-1 ID 1	3587WP	7	879WKG	10-1 ID 1	879 2-2	NA	NA	NA	NA	17-3	14	15	22	8	30	9	19	14	23	14	21	13	25	15	24	14	18	12	17	5	21.3	11.9	4732.86	2644.1800000000003	0.641566265060241	7377.04	NA	NA	879WKG	2-2	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2018-08-31	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	879 2-2	NA	NA	NA	NA	174-3	9	26	16	12	10	19	12	25	3	17	9	20	15	28	14	23	24	22	12	21	12.4	21.3	2755.2799999999997	4732.86	0.36795252225519287	7488.139999999999	NA	NA	879WKG	2-2	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2018-08-28	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	879 G-2	NA	NA	NA	NA	175-2	8	8	13	9	11	7	16	4	16	7	9	12	16	12	8	9	15	5	6	2	11.8	7.5	2621.96	1666.5	0.6113989637305699	4288.46	NA	NA	879WKG	G-2	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2018-07-30	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	904-2	NA	NA	NA	NA	176-3	23	19	26	13	27	13	25	10	22	12	19	8	48	13	28	19	35	16	36	15	28.9	13.8	6421.579999999999	3066.36	0.6768149882903981	9487.939999999999	NA	NA	904WPG	2	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	2018-07-25	904-5 x 879 G-2 ID 3	904WPG	5	879WKG	G-2 ID 3	879 10-1	NA	NA	NA	NA	178-1	2	2	1	10	0	6	1	12	0	11	2	12	2	9	1	15	6	8	1	6	1.6	9.1	355.52	2022.0199999999998	0.14953271028037382	2377.54	NA	NA	879WKG	10-1	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2018-07-25	904-5 x 879 G-2 ID 3	904WPG	5	879WKG	G-2 ID 3	904-2	NA	NA	NA	NA	179-3	4	32	5	42	5	43	2	48	1	30	3	34	1	23	2	34	4	27	2	26	2.9	33.9	644.38	7532.579999999999	0.07880434782608696	8176.959999999999	NA	NA	904WPG	2	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	2018-08-29	3587-A x 879 10-1 ID 1	3587WP	A	879WKG	10-1 ID 1	3587-12 4/3/13	NA	NA	NA	NA	24-2	10	16	11	15	15	25	15	20	12	15	9	19	19	23	12	10	13	17	9	28	12.5	18.8	2777.5	4177.36	0.3993610223642173	6954.86	NA	NA	3587WP	12 4/3/13	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	2018-07-30	3587-A x 879 10-1 ID 1	3587WP	A	879WKG	10-1 ID 1	879 2-2	NA	NA	NA	NA	27-2	66	27	31	17	41	37	40	41	48	26	55	41	60	44	67	50	69	38	53	31	53	35.2	11776.599999999999	7821.4400000000005	0.600907029478458	19598.04	NA	NA	879WKG	2-2	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2018-07-03	3587-A x 879 G-2 ID 2	3587WP	A	879WKG	G-2 ID 2	879 2-2	NA	NA	NA	NA	30-1	4	29	9	19	6	24	9	28	14	28	9	22	12	19	16	33	5	27	9	34	9.3	26.3	2066.46	5843.86	0.2612359550561798	7910.32	NA	NA	879WKG	2-2	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2018-08-30	879 10-1 x 892-1 ID 1	879WKG	10-1	892WKG	1 ID 1	879 2-2	NA	NA	NA	NA	48-2	29	24	31	23	43	35	40	30	33	22	36	28	29	23	25	13	37	25	31	22	33.4	24.5	7421.48	5443.9	0.5768566493955095	12865.38	NA	NA	879WKG	2-2	FP	hook	kaal	NA	NA	NA	hook	HK	H	HK x H
P	F	2018-08-13	879 10-1 x 892-1 ID 1	879WKG	10-1	892WKG	1 ID 1	892-4	NA	NA	NA	NA	50-1	17	23	13	15	18	26	18	27	20	19	19	22	17	28	23	18	16	29	15	21	17.6	22.8	3910.7200000000003	5066.16	0.43564356435643564	8976.880000000001	NA	NA	892WKG	4	FP	hook	kaal	NA	NA	NA	kaal	HK	K	HK x K
P	F	2018-07-18	879 10-1 x 892-3 ID 9	879WKG	10-1	892WKG	3 ID 9	879 2-2	NA	NA	NA	NA	53-1	31	49	35	57	40	31	33	49	24	25	19	29	35	39	32	37	28	46	29	28	30.6	39	6799.32	8665.8	0.4396551724137931	15465.119999999999	NA	NA	879WKG	2-2	FP	hook	kaal	NA	NA	NA	hook	HK	H	HK x H
P	F	2018-07-10	879 10-1 x 892-3 ID 9	879WKG	10-1	892WKG	3 ID 9	892-1	NA	NA	NA	NA	55-9	28	22	13	13	17	18	25	19	15	19	18	23	22	19	16	19	21	24	8	16	18.3	19.2	4066.2599999999998	4266.24	0.488	8332.5	NA	NA	892WKG	1	FP	hook	kaal	NA	NA	NA	kaal	HK	K	HK x K
P	F	2018-08-30	879 10-1 x 904-3 ID 1	879WKG	10-1	904WPG	3 ID 1	879 2-2	NA	NA	NA	NA	57-1	0	2	0	5	4	4	0	1	1	4	1	4	3	2	1	1	1	6	2	1	1.3	3	288.86	666.5999999999999	0.3023255813953489	955.4599999999999	NA	NA	879WKG	2-2	FP	hook	kaal	NA	NA	NA	hook	HK	H	HK x H
P	F	2018-07-16	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 2-2	NA	NA	NA	NA	60-8	29	12	24	14	18	11	29	18	28	22	37	12	25	18	27	20	24	18	28	17	26.9	16.2	5977.179999999999	3599.64	0.6241299303944315	9576.82	NA	NA	879WKG	2-2	FP	hook	kaal	NA	NA	NA	hook	HK	H	HK x H
P	F	2018-08-13	3587-14 x 879 10-1 ID 2	3587WP	14	879WKG	10-1 ID 2	3587-A	NA	NA	NA	NA	6-10	9	9	9	10	8	6	9	10	4	8	6	7	8	7	8	6	7	9	9	11	7.7	8.3	1710.94	1844.2599999999998	0.48125000000000007	3555.2	NA	NA	3587WP	A	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	2018-08-20	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1	NA	NA	NA	NA	77-7	8	15	4	6	5	7	5	8	4	7	8	10	12	11	4	8	10	9	10	9	7	9	1555.3999999999999	1999.8	0.4375	3555.2	NA	NA	879WKG	10-1	FP	hook	kaal	NA	NA	NA	hook	HK	H	HK x H
P	F	2018-07-18	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	892-4	NA	NA	NA	NA	80-7	17	43	12	41	8	49	15	47	9	41	8	30	11	50	12	47	12	50	12	38	11.6	43.6	2577.52	9687.92	0.21014492753623187	12265.44	NA	NA	892WKG	4	FP	hook	kaal	NA	NA	NA	kaal	HK	K	HK x K
P	F	2018-08-06	879 2-2 x 892-4 ID 8	879WKG	2-2	892WKG	4 ID 8	879 10-1	NA	NA	NA	NA	82-5	16	14	25	21	29	20	20	25	22	22	18	13	31	17	16	17	27	18	28	18	23.2	18.5	5155.04	4110.7	0.5563549160671463	9265.74	NA	NA	879WKG	10-1	FP	hook	kaal	NA	NA	NA	hook	HK	H	HK x H
P	F	2018-08-28	879 2-2 x 892-4 ID 8	879WKG	2-2	892WKG	4 ID 8	892-5	NA	NA	NA	NA	84-1	0	17	0	3	6	12	1	4	0	1	0	6	0	2	0	4	1	8	0	9	0.8	6.6	177.76	1466.52	0.1081081081081081	1644.28	NA	NA	892WKG	5	FP	hook	kaal	NA	NA	NA	kaal	HK	K	HK x K
P	F	2018-08-30	879 2-2 x 904-3 ID 11	879WKG	2-2	904WPG	3 ID 11	879 G-2	NA	NA	NA	NA	86-10	12	21	27	27	20	23	24	30	25	30	21	27	42	35	25	39	26	29	28	21	25	28.2	5555	6266.040000000001	0.46992481203007513	11821.04	NA	NA	879WKG	G-2	FP	hook	kaal	NA	NA	NA	hook	HK	H	HK x H
P	F	2018-08-08	879 G-2 x 904-3 ID 5	879WKG	G-2	904WPG	3 ID 5	879 2-2	NA	NA	NA	NA	94-4	39	17	20	14	33	12	33	10	38	15	37	13	43	12	38	14	39	20	44	17	36.4	14.4	8088.079999999999	3199.6799999999994	0.7165354330708662	11287.759999999998	NA	NA	879WKG	2-2	FP	hook	kaal	NA	NA	NA	hook	HK	H	HK x H
P	F	2018-07-11	879 G-2 x 904-3 ID 5	879WKG	G-2	904WPG	3 ID 5	904-5	NA	NA	NA	NA	97-4	34	28	30	29	22	29	34	38	27	32	26	19	24	17	33	27	27	20	14	15	27.1	25.4	6021.620000000001	5643.879999999999	0.5161904761904763	11665.5	NA	NA	904WPG	5	FP	hook	kaal	NA	NA	NA	kaal	HK	K	HK x K
P	F	2018-09-06	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	904-3	NA	NA	NA	NA	62-1	5	45	0	44	0	55	2	51	1	65	2	53	2	54	4	52	4	46	2	60	2.2	52.5	488.84000000000003	11665.5	0.04021937842778794	12154.34	NA	NA	904WPG	3	FP	hook	kaal	NA	NA	NA	kaal	HK	K	HK x K
P	F	2018-09-06	3587-A x 879 G-2 ID 2	3587WP	A	879WKG	G-2 ID 2	3587-7	NA	NA	NA	NA	29-6	38	34	24	30	38	42	34	37	23	29	28	26	36	36	31	37	34	41	14	40	30	35.2	6666	7821.4400000000005	0.4601226993865031	14487.44	NA	NA	3587WP	7	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	2019-10-07	892-1 x 879 2-2 ID 1	892WKG	1	879WKG	2-2 ID 1	892-10 4/3/13	NA	NA	NA	NA	113-2	32	10	38	17	31	8	38	6	39	6	33	7	38	6	30	10	32	6	48	9	35.9	8.5	7976.98	1888.6999999999998	0.8085585585585585	9865.68	NA	NA	892WKG	10 4/3/13	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	2019-10-07	892-3 x 879 10-1 ID 1	892WKG	3	879WKG	10-1 ID 1	879 2-2  3/25/14 C1	NA	NA	NA	NA	123-1	37	19	27	19	25	11	81	53	29	20	21	11	20	10	30	20	28	12	24	24	32.2	19.9	7154.84	4421.78	0.618042226487524	11576.619999999999	NA	NA	879WKG	2-2  3/25/14 C1	FP	kaal	hook	NA	NA	NA	hook	KH	H	KH x H
P	F	2019-10-09	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	904-2	NA	NA	NA	NA	176-1	24	58	30	53	11	44	22	46	13	54	21	43	17	43	12	50	15	38	19	47	18.4	47.6	4088.4799999999996	10576.720000000001	0.27878787878787875	14665.2	NA	NA	904WPG	2	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	2019-10-09	904-5 x 879 G-2 ID 3	904WPG	5	879WKG	G-2 ID 3	904-2	NA	NA	NA	NA	179-1	15	22	13	26	10	11	17	36	15	15	10	12	18	24	25	24	22	26	15	25	16	22.1	3555.2	4910.62	0.4199475065616798	8465.82	NA	NA	904WPG	2	FP	kaal	hook	NA	NA	NA	kaal	KH	K	KH x K
P	F	NA	879 2-2 x 904-3 ID 11	879WKG	2-2	904WPG	3 ID 11	879 G-2	NA	NA	NA	NA	86-1	41	8	35	5	41	4	36	4	43	4	32	2	42	5	43	0	28	3	40	5	38.1	4	8465.82	888.8	0.9049881235154394	9354.619999999999	NA	NA	879WKG	G-2	FP	hook	kaal	NA	NA	NA	hook	HK	H	HK x H
