dadgeneration	momgeneration	momfullcross	mommompop	mommomid	momdadpop	momdadid	dadfullcross	dadmompop	dadmomid	daddadpop	dadadid	pollinationid	crossid	pollendonor	emasculation.date	pollination.date	viable.seeds	inviable.seeds	comments	capsule.formed	mompop	momid	dadpop	dadid	generation	mommomsp	momdadsp	dadmomsp	daddadsp	momsp	dadsp	momcross	dadcross	momdadcross
F	F	904-3 x 879 G-2 ID 3	904WPG	3	879WKG	G-2 ID 3	904-2 x 879 2-2 ID 2	904WPG	2	879WKG	2-2 ID 2	138	162-2	K	2019-01-11	2019-01-15	15	2	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-3 x 879 G-2 ID 3	904WPG	3	879WKG	G-2 ID 3	904-2 x 879 2-2 ID 2	904WPG	2	879WKG	2-2 ID 2	349	162-2	K	2019-05-24	2019-05-28	8	3	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	904-2 x 879 202 ID 5	904WPG	2	879WKG	202 ID 5	85	177-2	K	2018-11-16	2018-11-20	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	904-2 x 879 202 ID 5	904WPG	2	879WKG	202 ID 5	110	177-2	K	2018-11-23	2018-11-27	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	904-2 x 879 202 ID 5	904WPG	2	879WKG	202 ID 5	151	177-2	K	2019-01-18	2019-01-22	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	904-2 x 879 202 ID 5	904WPG	2	879WKG	202 ID 5	55	177-2	K	2018-11-09	2018-11-13	0	1	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	904-2 x 879 202 ID 5	904WPG	2	879WKG	202 ID 5	141	177-2	K	2019-01-11	2019-01-15	0	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	P	879 10-1 C1	NA	NA	NA	NA	879 10-1 x 904-3 ID 2	879WKG	10-1	904WPG	3 ID 2	69	36-1	H	2018-11-09	2018-11-13	0	2	NA	FALSE	879WKG	10-1 C1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 10-1 C1	NA	NA	NA	NA	879 10-1 x 904-3 ID 2	879WKG	10-1	904WPG	3 ID 2	70	36-1	H	2018-11-09	2018-11-13	0	0	NA	FALSE	879WKG	10-1 C1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 10-1 C1	NA	NA	NA	NA	879 10-1 x 904-3 ID 2	879WKG	10-1	904WPG	3 ID 2	93	36-1	H	2018-11-16	2018-11-20	0	1	NA	FALSE	879WKG	10-1 C1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 10-1 C1	NA	NA	NA	NA	879 10-1 x 904-3 ID 2	879WKG	10-1	904WPG	3 ID 2	94	36-1	H	2018-11-16	2018-11-20	0	1	NA	FALSE	879WKG	10-1 C1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 10-1 C1	NA	NA	NA	NA	879 10-1 x 904-3 ID 2	879WKG	10-1	904WPG	3 ID 2	119	36-1	H	2018-11-23	2018-11-27	0	3	NA	FALSE	879WKG	10-1 C1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	165	66-1	H	2019-01-25	2019-01-29	0	0	Capsule aborted after bagging	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	167	66-1	H	2019-01-25	2019-01-29	0	0	Capsule aborted after bagging	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	168	66-1	H	2019-01-25	2019-01-29	0	0	Capsule aborted after bagging	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	169	66-1	H	2019-01-25	2019-01-29	0	0	Capsule aborted after bagging	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	170	66-1	H	2019-01-25	2019-01-29	0	0	Capsule aborted after bagging	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	58	66-1	H	2018-11-09	2018-11-13	2	0	NA	TRUE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 1	879WKG	G-2	904WPG	5 ID 1	235	67-1	H	2019-02-22	2019-02-26	0	0	Capsule aborted after bagging	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 1	879WKG	G-2	904WPG	5 ID 1	236	67-1	H	2019-02-22	2019-02-26	0	0	Capsule aborted after bagging	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 1	879WKG	G-2	904WPG	5 ID 1	237	67-1	H	2019-02-22	2019-02-26	0	0	Capsule aborted after bagging	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 1	879WKG	G-2	904WPG	5 ID 1	234	67-1	H	2019-02-22	2019-02-26	0	1	NA	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 1	879WKG	G-2	904WPG	5 ID 1	238	67-1	H	2019-02-22	2019-02-26	0	2	NA	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 G-2	NA	NA	NA	NA	879 10-1 x 904-3 ID 1	879WKG	10-1	904WPG	3 ID 1	243	90-1	H	2019-02-22	2019-02-26	0	0	Capsule aborted after bagging	FALSE	879WKG	G-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 G-2	NA	NA	NA	NA	879 10-1 x 904-3 ID 1	879WKG	10-1	904WPG	3 ID 1	239	90-1	H	2019-02-22	2019-02-26	4	0	NA	TRUE	879WKG	G-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 G-2	NA	NA	NA	NA	879 10-1 x 904-3 ID 1	879WKG	10-1	904WPG	3 ID 1	240	90-1	H	2019-02-22	2019-02-26	1	1	NA	TRUE	879WKG	G-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 G-2	NA	NA	NA	NA	879 10-1 x 904-3 ID 1	879WKG	10-1	904WPG	3 ID 1	241	90-1	H	2019-02-22	2019-02-26	2	2	NA	TRUE	879WKG	G-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 G-2 C2	NA	NA	NA	NA	879 2-2 x 904-5 ID 9	879WKG	2-2	904WPG	5 ID 9	86	93-1	H	2018-11-16	2018-11-20	0	0	Capsule aborted after bagging	FALSE	879WKG	G-2 C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 G-2 C2	NA	NA	NA	NA	879 2-2 x 904-5 ID 9	879WKG	2-2	904WPG	5 ID 9	109	93-1	H	2018-11-23	2018-11-27	0	0	Capsule aborted after bagging	FALSE	879WKG	G-2 C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 G-2 C2	NA	NA	NA	NA	879 2-2 x 904-5 ID 9	879WKG	2-2	904WPG	5 ID 9	181	93-1	H	2019-01-25	2019-01-29	0	0	Capsule aborted after bagging	FALSE	879WKG	G-2 C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 G-2 C2	NA	NA	NA	NA	879 2-2 x 904-5 ID 9	879WKG	2-2	904WPG	5 ID 9	183	93-1	H	2019-01-25	2019-01-29	0	0	Capsule aborted after bagging	FALSE	879WKG	G-2 C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 G-2 C2	NA	NA	NA	NA	879 2-2 x 904-5 ID 9	879WKG	2-2	904WPG	5 ID 9	184	93-1	H	2019-01-25	2019-01-29	0	0	Capsule aborted after bagging	FALSE	879WKG	G-2 C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 G-2 C2	NA	NA	NA	NA	879 2-2 x 904-5 ID 9	879WKG	2-2	904WPG	5 ID 9	56	93-1	H	2018-11-09	2018-11-13	1	0	NA	TRUE	879WKG	G-2 C2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 10-1	NA	NA	NA	NA	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	310	39-1	H	2019-04-26	2019-04-30	0	0	NA	FALSE	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	879 10-1	NA	NA	NA	NA	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	311	39-1	H	2019-04-26	2019-04-30	0	0	NA	FALSE	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	879 10-1	NA	NA	NA	NA	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	313	39-1	H	2019-04-26	2019-04-30	0	0	NA	FALSE	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	879 10-1	NA	NA	NA	NA	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	315	39-1	H	2019-04-26	2019-04-30	0	0	NA	FALSE	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	879 10-1 small	NA	NA	NA	NA	904-3 x 879 H-2 ID 4	904WPG	3	879WKG	H-2 ID 4	2	45-4	H	2018-10-31	2018-11-06	10	2	NA	TRUE	879WKG	10-1 small	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	879 10-1 small	NA	NA	NA	NA	904-3 x 879 H-2 ID 4	904WPG	3	879WKG	H-2 ID 4	73	45-4	H	2018-11-16	2018-11-20	14	0	NA	TRUE	879WKG	10-1 small	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	879 10-1 small	NA	NA	NA	NA	904-3 x 879 H-2 ID 4	904WPG	3	879WKG	H-2 ID 4	101	45-4	H	2018-11-23	2018-11-27	11	0	NA	TRUE	879WKG	10-1 small	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	879 2-2	NA	NA	NA	NA	3587-A x 879 10-1 ID 1	3587WP	A	879WKG	10-1 ID 1	219	74-1	H	NA	2019-02-05	0	1	Pollinated without emasculation	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	879 2-2	NA	NA	NA	NA	3587-A x 879 10-1 ID 1	3587WP	A	879WKG	10-1 ID 1	220	74-1	H	NA	2019-02-05	0	0	Pollinated without emasculation	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	879 2-2	NA	NA	NA	NA	3587-A x 879 10-1 ID 1	3587WP	A	879WKG	10-1 ID 1	218	74-1	H	NA	2019-02-05	0	0	Pollinated without emasculation; capsule aborted before bagging; not bagged	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	879 2-2	NA	NA	NA	NA	3587-A x 879 10-1 ID 1	3587WP	A	879WKG	10-1 ID 1	221	74-1	H	NA	2019-02-05	0	0	Pollinated without emasculation; capsule aborted before bagging; not bagged	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	892-1	NA	NA	NA	NA	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	188	111-1	K	2019-01-25	2019-01-29	0	0	Capsule aborted after bagging	FALSE	892WKG	1	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	892-1	NA	NA	NA	NA	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	97	111-1	K	2018-11-16	2018-11-20	3	0	NA	TRUE	892WKG	1	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	892-1	NA	NA	NA	NA	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	185	111-1	K	2019-01-25	2019-01-29	1	5	NA	TRUE	892WKG	1	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	892-1	NA	NA	NA	NA	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	189	111-1	K	2019-01-25	2019-01-29	1	2	NA	TRUE	892WKG	1	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	892-1	NA	NA	NA	NA	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	190	111-1	K	2019-01-25	2019-01-29	1	2	NA	TRUE	892WKG	1	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	904-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	16	140-1	K	2018-11-02	2018-11-06	2	0	NA	TRUE	904WPG	2	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	904-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	62	140-1	K	2018-11-09	2018-11-13	1	0	NA	TRUE	904WPG	2	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	904-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	115	140-1	K	2018-11-23	2018-11-27	7	0	NA	TRUE	904WPG	2	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	904-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	191	140-1	K	2019-02-01	2019-02-05	2	1	NA	TRUE	904WPG	2	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	904-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	192	140-1	K	2019-02-01	2019-02-05	2	2	NA	TRUE	904WPG	2	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	904-3	NA	NA	NA	NA	879 G-2 x 904-5 ID 1	879WKG	G-2	904WPG	5 ID 1	91	155-1	K	2018-11-16	2018-11-20	5	0	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	904-5-A 4/3/13	NA	NA	NA	NA	879 G-2 x 904-3 ID 5	879WKG	G-2	904WPG	3 ID 5	100	170-1	K	2018-11-16	2018-11-20	17	1	NA	TRUE	904WPG	5-A 4/3/13	NA	NA	PF	NA	NA	hook	kaal	kaal	NA	K	HK	K x HK
F	P	3587-14	NA	NA	NA	NA	3587-7 x 879 G-2 ID 4	3587WP	7	879WKG	G-2 ID 4	15	4-1	K	2018-11-02	2018-11-06	2	0	NA	TRUE	3587WP	14	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	3587-14	NA	NA	NA	NA	3587-7 x 879 G-2 ID 4	3587WP	7	879WKG	G-2 ID 4	41	4-1	K	2018-11-09	2018-11-13	7	0	NA	TRUE	3587WP	14	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	3587-14	NA	NA	NA	NA	3587-7 x 879 G-2 ID 4	3587WP	7	879WKG	G-2 ID 4	42	4-1	K	2018-11-09	2018-11-13	4	0	NA	TRUE	3587WP	14	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	3587-14	NA	NA	NA	NA	3587-7 x 879 G-2 ID 4	3587WP	7	879WKG	G-2 ID 4	72	4-1	K	2018-11-16	2018-11-20	7	0	NA	TRUE	3587WP	14	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	3587-14	NA	NA	NA	NA	3587-7 x 879 G-2 ID 4	3587WP	7	879WKG	G-2 ID 4	338	4-1	K	2019-05-17	2019-05-21	7	0	NA	TRUE	3587WP	14	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	3587-14	NA	NA	NA	NA	3587-7 x 879 G-2 ID 4	3587WP	7	879WKG	G-2 ID 4	340	4-1	K	2019-05-17	2019-05-21	6	1	NA	TRUE	3587WP	14	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	904-2	NA	NA	NA	NA	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	291	142-1	K	2019-04-12	2019-04-16	2	0	Capsule opened before bagging; bagged	TRUE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	904-2	NA	NA	NA	NA	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	294	142-1	K	2019-04-19	2019-04-23	0	0	NA	FALSE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	904-2	NA	NA	NA	NA	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	295	142-1	K	2019-04-19	2019-04-23	4	2	NA	TRUE	904WPG	2	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	904-3	NA	NA	NA	NA	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	288	156-1	K	2019-04-12	2019-04-16	3	0	Seeds collect early b/c branch fell off	TRUE	904WPG	3	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	904-3	NA	NA	NA	NA	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	61	156-1	K	2018-11-09	2018-11-13	1	0	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	904-3	NA	NA	NA	NA	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	113	156-1	K	2018-11-23	2018-11-27	1	0	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	904-3	NA	NA	NA	NA	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	118	156-1	K	2018-11-23	2018-11-27	3	0	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	904-3	NA	NA	NA	NA	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	284	156-1	K	2019-04-12	2019-04-16	5	1	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	904-3	NA	NA	NA	NA	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	285	156-1	K	2019-04-12	2019-04-16	3	0	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	904-3	NA	NA	NA	NA	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	286	156-1	K	2019-04-12	2019-04-16	4	0	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	904-3	NA	NA	NA	NA	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	287	156-1	K	2019-04-12	2019-04-16	7	1	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	904-3	NA	NA	NA	NA	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	289	156-1	K	2019-04-12	2019-04-16	4	0	NA	TRUE	904WPG	3	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
P	F	879 10-1 x 892-3 ID 9	879WKG	10-1	892WKG	3 ID 9	879 2-2	NA	NA	NA	NA	108	53-1	H	2018-11-23	2018-11-27	0	0	Capsule aborted after bagging	FALSE	NA	NA	879WKG	2-2	FP	hook	kaal	NA	NA	NA	hook	HK	H	HK x H
P	F	879 10-1 x 892-3 ID 9	879WKG	10-1	892WKG	3 ID 9	879 2-2	NA	NA	NA	NA	335	53-1	H	2019-05-10	2019-05-14	0	0	Stigma not elongated enough, attempted pollination	FALSE	NA	NA	879WKG	2-2	FP	hook	kaal	NA	NA	NA	hook	HK	H	HK x H
P	F	879 10-1 x 892-3 ID 9	879WKG	10-1	892WKG	3 ID 9	879 2-2	NA	NA	NA	NA	47	53-1	H	2018-11-09	2018-11-13	1	0	NA	TRUE	NA	NA	879WKG	2-2	FP	hook	kaal	NA	NA	NA	hook	HK	H	HK x H
