"cross"	"id"	"viable"	"crosstype"	"date"	"momisle"	"dadisle"	"momclade"	"dadclade"
66	31	122	4	1	"O"	"O"	2	4
66	31	165	4	1	"O"	"O"	2	4
66	31	151	4	1	"O"	"O"	2	4
66	31	166	4	1	"O"	"O"	2	4
66	31	173	4	1	"O"	"O"	2	4
155	19	189	4	-9	"O"	"O"	4	2
155	19	191	4	-9	"O"	"O"	4	2
155	19	183	4	-9	"O"	"O"	4	2
155	19	184	4	-9	"O"	"O"	4	2
155	19	179	4	-9	"O"	"O"	4	2
155	20	196	4	-9	"O"	"O"	4	2
155	20	199	4	-9	"O"	"O"	4	2
155	20	199	4	-9	"O"	"O"	4	2
99	9	181	4	-9	"O"	"O"	4	4
99	9	172	4	-9	"O"	"O"	4	4
99	9	176	4	-9	"O"	"O"	4	4
99	9	157	4	-9	"O"	"O"	4	4
99	9	184	4	-9	"O"	"O"	4	4
99	23	193	4	-9	"O"	"O"	4	4
99	23	195	4	-9	"O"	"O"	4	4
99	23	194	4	-9	"O"	"O"	4	4
99	23	194	4	-9	"O"	"O"	4	4
99	23	182	4	-9	"O"	"O"	4	4
116	29	191	4	-9	"O"	"O"	4	2
116	29	195	4	-9	"O"	"O"	4	2
116	29	199	4	-9	"O"	"O"	4	2
116	29	194	4	-9	"O"	"O"	4	2
116	29	195	4	-9	"O"	"O"	4	2
108	14	195	4	-9	"O"	"M"	4	2
108	14	199	4	-9	"O"	"M"	4	2
108	14	200	4	-9	"O"	"M"	4	2
108	14	196	4	-9	"O"	"M"	4	2
108	14	188	4	-9	"O"	"M"	4	2
124	18	189	4	-9	"O"	"O"	4	2
124	18	199	4	-9	"O"	"O"	4	2
124	18	186	4	-9	"O"	"O"	4	2
124	18	196	4	-9	"O"	"O"	4	2
124	18	197	4	-9	"O"	"O"	4	2
90	17	191	4	-9	"O"	"O"	4	4
90	17	195	4	-9	"O"	"O"	4	4
90	17	198	4	-9	"O"	"O"	4	4
90	17	190	4	-9	"O"	"O"	4	4
90	17	192	4	-9	"O"	"O"	4	4
30	17	182	4	-9	"O"	"O"	2	4
30	17	185	4	-9	"O"	"O"	2	4
30	17	172	4	-9	"O"	"O"	2	4
30	17	188	4	-9	"O"	"O"	2	4
30	17	189	4	-9	"O"	"O"	2	4
15	9	199	4	-9	"O"	"M"	2	2
15	9	200	4	-9	"O"	"M"	2	2
15	9	197	4	-9	"O"	"M"	2	2
15	9	198	4	-9	"O"	"M"	2	2
15	9	200	4	-9	"O"	"M"	2	2
148	12	197	4	-9	"O"	"O"	4	4
148	12	197	4	-9	"O"	"O"	4	4
148	12	192	4	-9	"O"	"O"	4	4
148	12	184	4	-9	"O"	"O"	4	4
148	12	196	4	-9	"O"	"O"	4	4
155	12	186	4	-9	"O"	"O"	4	2
155	12	192	4	-9	"O"	"O"	4	2
155	12	193	4	-9	"O"	"O"	4	2
155	12	194	4	-9	"O"	"O"	4	2
155	12	190	4	-9	"O"	"O"	4	2
23	27	196	4	-9	"O"	"O"	2	4
23	27	197	4	-9	"O"	"O"	2	4
23	27	195	4	-9	"O"	"O"	2	4
23	27	200	4	-9	"O"	"O"	2	4
23	27	198	4	-9	"O"	"O"	2	4
155	31	181	4	-9	"O"	"O"	4	2
155	31	186	4	-9	"O"	"O"	4	2
155	31	186	4	-9	"O"	"O"	4	2
155	31	187	4	-9	"O"	"O"	4	2
155	31	181	4	-9	"O"	"O"	4	2
2	27	189	3	-9	"O"	"O"	2	4
2	27	193	3	-9	"O"	"O"	2	4
2	27	198	3	-9	"O"	"O"	2	4
2	27	189	3	-9	"O"	"O"	2	4
2	27	189	3	-9	"O"	"O"	2	4
2	6	152	3	1	"O"	"O"	2	4
2	6	144	3	1	"O"	"O"	2	4
2	6	157	3	1	"O"	"O"	2	4
2	6	156	3	1	"O"	"O"	2	4
2	6	149	3	1	"O"	"O"	2	4
133	17	156	4	-9	"O"	"O"	4	4
133	17	62	4	-9	"O"	"O"	4	4
133	17	116	4	-9	"O"	"O"	4	4
133	17	158	4	-9	"O"	"O"	4	4
133	17	149	4	-9	"O"	"O"	4	4
99	22	177	4	-9	"O"	"O"	4	4
99	22	193	4	-9	"O"	"O"	4	4
99	22	194	4	-9	"O"	"O"	4	4
99	22	184	4	-9	"O"	"O"	4	4
99	22	171	4	-9	"O"	"O"	4	4
99	18	194	4	-9	"O"	"O"	4	4
99	18	189	4	-9	"O"	"O"	4	4
99	18	190	4	-9	"O"	"O"	4	4
99	18	195	4	-9	"O"	"O"	4	4
99	18	196	4	-9	"O"	"O"	4	4
99	29	170	4	-9	"O"	"O"	4	4
99	29	188	4	-9	"O"	"O"	4	4
99	29	184	4	-9	"O"	"O"	4	4
99	29	180	4	-9	"O"	"O"	4	4
99	29	183	4	-9	"O"	"O"	4	4
45	17	187	4	-9	"O"	"O"	2	4
45	17	182	4	-9	"O"	"O"	2	4
45	17	186	4	-9	"O"	"O"	2	4
45	17	190	4	-9	"O"	"O"	2	4
45	17	189	4	-9	"O"	"O"	2	4
45	6	180	4	-9	"O"	"O"	2	4
12	23	199	4	1	"O"	"O"	4	4
12	23	197	4	1	"O"	"O"	4	4
12	23	198	4	1	"O"	"O"	4	4
12	23	196	4	1	"O"	"O"	4	4
12	23	196	4	1	"O"	"O"	4	4
12	22	196	4	1	"O"	"O"	4	4
12	22	196	4	1	"O"	"O"	4	4
12	22	196	4	1	"O"	"O"	4	4
12	22	193	4	1	"O"	"O"	4	4
12	22	193	4	1	"O"	"O"	4	4
12	20	190	4	-9	"O"	"O"	4	4
12	20	190	4	-9	"O"	"O"	4	4
12	20	197	4	-9	"O"	"O"	4	4
12	20	193	4	-9	"O"	"O"	4	4
12	20	196	4	-9	"O"	"O"	4	4
80	23	158	3	-9	"O"	"O"	4	4
80	23	151	3	-9	"O"	"O"	4	4
80	23	153	3	-9	"O"	"O"	4	4
80	23	154	3	-9	"O"	"O"	4	4
80	23	87	3	-9	"O"	"O"	4	4
124	24	197	4	-9	"O"	"O"	4	2
124	24	184	4	-9	"O"	"O"	4	2
124	24	188	4	-9	"O"	"O"	4	2
124	24	194	4	-9	"O"	"O"	4	2
124	24	192	4	-9	"O"	"O"	4	2
148	31	197	4	-9	"O"	"O"	4	4
148	31	199	4	-9	"O"	"O"	4	4
148	31	198	4	-9	"O"	"O"	4	4
148	31	196	4	-9	"O"	"O"	4	4
148	31	187	4	-9	"O"	"O"	4	4
148	10	195	4	-9	"O"	"O"	4	4
148	10	200	4	-9	"O"	"O"	4	4
148	10	199	4	-9	"O"	"O"	4	4
148	10	198	4	-9	"O"	"O"	4	4
148	10	199	4	-9	"O"	"O"	4	4
148	19	197	4	-9	"O"	"O"	4	4
148	19	192	4	-9	"O"	"O"	4	4
148	19	199	4	-9	"O"	"O"	4	4
148	19	200	4	-9	"O"	"O"	4	4
148	19	200	4	-9	"O"	"O"	4	4
108	14	188	4	-9	"O"	"M"	4	2
2	4	197	3	-9	"O"	"O"	2	4
2	4	193	3	-9	"O"	"O"	2	4
2	4	200	3	-9	"O"	"O"	2	4
2	4	193	3	-9	"O"	"O"	2	4
2	4	197	3	-9	"O"	"O"	2	4
90	25	186	4	-9	"O"	"O"	4	4
90	25	186	4	-9	"O"	"O"	4	4
90	25	184	4	-9	"O"	"O"	4	4
90	25	193	4	-9	"O"	"O"	4	4
90	25	183	4	-9	"O"	"O"	4	4
66	31	181	4	2	"O"	"O"	2	4
66	31	190	4	2	"O"	"O"	2	4
66	31	193	4	2	"O"	"O"	2	4
66	31	194	4	2	"O"	"O"	2	4
66	31	196	4	2	"O"	"O"	2	4
165	15	193	4	-9	"O"	"O"	4	4
165	15	191	4	-9	"O"	"O"	4	4
165	15	186	4	-9	"O"	"O"	4	4
165	15	195	4	-9	"O"	"O"	4	4
165	15	179	4	-9	"O"	"O"	4	4
66	21	192	4	-9	"O"	"O"	2	4
66	21	198	4	-9	"O"	"O"	2	4
66	21	190	4	-9	"O"	"O"	2	4
66	21	194	4	-9	"O"	"O"	2	4
66	21	193	4	-9	"O"	"O"	2	4
15	17	199	4	-9	"O"	"M"	2	2
15	17	199	4	-9	"O"	"M"	2	2
15	17	197	4	-9	"O"	"M"	2	2
15	17	198	4	-9	"O"	"M"	2	2
15	17	199	4	-9	"O"	"M"	2	2
15	4	199	4	-9	"O"	"M"	2	2
15	4	195	4	-9	"O"	"M"	2	2
15	4	196	4	-9	"O"	"M"	2	2
15	4	200	4	-9	"O"	"M"	2	2
15	4	198	4	-9	"O"	"M"	2	2
80	18	197	3	-9	"O"	"O"	4	4
80	18	197	3	-9	"O"	"O"	4	4
80	18	198	3	-9	"O"	"O"	4	4
80	18	190	3	-9	"O"	"O"	4	4
80	18	197	3	-9	"O"	"O"	4	4
2	5	191	3	-9	"O"	"O"	2	4
2	5	82	3	-9	"O"	"O"	2	4
2	5	196	3	-9	"O"	"O"	2	4
2	5	198	3	-9	"O"	"O"	2	4
2	5	199	3	-9	"O"	"O"	2	4
791	16	162	-9	-9	"O"	"O"	4	4
791	16	125	-9	-9	"O"	"O"	4	4
791	16	178	-9	-9	"O"	"O"	4	4
791	16	184	-9	-9	"O"	"O"	4	4
791	16	173	-9	-9	"O"	"O"	4	4
116	28	179	4	-9	"O"	"O"	4	2
116	28	169	4	-9	"O"	"O"	4	2
116	28	187	4	-9	"O"	"O"	4	2
116	28	182	4	-9	"O"	"O"	4	2
116	28	181	4	-9	"O"	"O"	4	2
90	16	154	4	-9	"O"	"O"	4	4
90	16	132	4	-9	"O"	"O"	4	4
90	16	124	4	-9	"O"	"O"	4	4
90	16	167	4	-9	"O"	"O"	4	4
90	16	184	4	-9	"O"	"O"	4	4
80	21	193	3	-9	"O"	"O"	4	4
80	21	198	3	-9	"O"	"O"	4	4
80	21	197	3	-9	"O"	"O"	4	4
80	21	197	3	-9	"O"	"O"	4	4
80	21	197	3	-9	"O"	"O"	4	4
90	12	190	4	-9	"O"	"O"	4	4
90	12	197	4	-9	"O"	"O"	4	4
90	12	195	4	-9	"O"	"O"	4	4
90	12	192	4	-9	"O"	"O"	4	4
90	12	193	4	-9	"O"	"O"	4	4
155	10	183	4	-9	"O"	"O"	4	2
155	10	191	4	-9	"O"	"O"	4	2
155	10	186	4	-9	"O"	"O"	4	2
155	10	184	4	-9	"O"	"O"	4	2
155	10	184	4	-9	"O"	"O"	4	2
23	20	196	4	-9	"O"	"O"	2	4
23	20	195	4	-9	"O"	"O"	2	4
23	20	193	4	-9	"O"	"O"	2	4
23	20	193	4	-9	"O"	"O"	2	4
23	20	196	4	-9	"O"	"O"	2	4
23	32	198	4	-9	"O"	"O"	2	4
23	32	189	4	-9	"O"	"O"	2	4
23	32	197	4	-9	"O"	"O"	2	4
23	32	193	4	-9	"O"	"O"	2	4
23	32	191	4	-9	"O"	"O"	2	4
21	15	194	4	-9	"O"	"O"	2	2
21	15	198	4	-9	"O"	"O"	2	2
21	15	198	4	-9	"O"	"O"	2	2
21	15	173	4	-9	"O"	"O"	2	2
21	15	198	4	-9	"O"	"O"	2	2
21	26	189	4	-9	"O"	"O"	2	2
21	26	193	4	-9	"O"	"O"	2	2
21	26	187	4	-9	"O"	"O"	2	2
21	26	188	4	-9	"O"	"O"	2	2
21	26	193	4	-9	"O"	"O"	2	2
133	27	163	4	-9	"O"	"O"	4	4
133	27	166	4	-9	"O"	"O"	4	4
133	27	164	4	-9	"O"	"O"	4	4
133	27	141	4	-9	"O"	"O"	4	4
133	27	158	4	-9	"O"	"O"	4	4
75	24	164	4	-9	"O"	"O"	2	4
75	24	168	4	-9	"O"	"O"	2	4
75	24	171	4	-9	"O"	"O"	2	4
75	24	166	4	-9	"O"	"O"	2	4
75	24	164	4	-9	"O"	"O"	2	4
75	28	194	4	-9	"O"	"O"	2	4
75	28	180	4	-9	"O"	"O"	2	4
75	28	183	4	-9	"O"	"O"	2	4
75	28	192	4	-9	"O"	"O"	2	4
75	28	183	4	-9	"O"	"O"	2	4
21	5	184	4	-9	"O"	"O"	2	2
21	5	181	4	-9	"O"	"O"	2	2
21	5	84	4	-9	"O"	"O"	2	2
21	5	169	4	-9	"O"	"O"	2	2
21	5	108	4	-9	"O"	"O"	2	2
209	9	149	2	1	"O"	"M"	4	2
209	9	154	2	1	"O"	"M"	4	2
209	9	145	2	1	"O"	"M"	4	2
209	9	146	2	1	"O"	"M"	4	2
209	9	194	2	1	"O"	"M"	4	2
209	6	199	2	1	"O"	"M"	4	2
209	6	199	2	1	"O"	"M"	4	2
209	6	200	2	1	"O"	"M"	4	2
209	6	198	2	1	"O"	"M"	4	2
209	6	200	2	1	"O"	"M"	4	2
209	1	199	2	-9	"O"	"M"	4	2
209	1	196	2	-9	"O"	"M"	4	2
209	1	198	2	-9	"O"	"M"	4	2
209	1	195	2	-9	"O"	"M"	4	2
209	1	196	2	-9	"O"	"M"	4	2
209	8	199	2	-9	"O"	"M"	4	2
209	4	198	2	-9	"O"	"M"	4	2
210	1	199	2	-9	"O"	"M"	4	2
210	1	197	2	-9	"O"	"M"	4	2
90	4	197	4	-9	"O"	"O"	4	4
90	4	197	4	-9	"O"	"O"	4	4
90	4	191	4	-9	"O"	"O"	4	4
90	4	195	4	-9	"O"	"O"	4	4
90	4	200	4	-9	"O"	"O"	4	4
209	9.2	198	2	-9	"O"	"M"	4	2
209	9.2	197	2	-9	"O"	"M"	4	2
209	9.2	197	2	-9	"O"	"M"	4	2
209	9.2	200	2	-9	"O"	"M"	4	2
209	9.2	200	2	-9	"O"	"M"	4	2
203	7	27	2	-9	"M"	"O"	3	2
203	7	44	2	-9	"M"	"O"	3	2
203	7	49	2	-9	"M"	"O"	3	2
203	7	43	2	-9	"M"	"O"	3	2
202	4	47	2	1	"M"	"O"	3	2
202	4	44	2	1	"M"	"O"	3	2
202	4	35	2	1	"M"	"O"	3	2
202	4	14	2	1	"M"	"O"	3	2
202	4	36	2	1	"M"	"O"	3	2
165	32	176	4	-9	"O"	"O"	4	4
165	32	167	4	-9	"O"	"O"	4	4
165	32	186	4	-9	"O"	"O"	4	4
165	32	171	4	-9	"O"	"O"	4	4
165	32	177	4	-9	"O"	"O"	4	4
124	5	189	4	-9	"O"	"O"	4	2
124	5	193	4	-9	"O"	"O"	4	2
124	5	189	4	-9	"O"	"O"	4	2
124	5	181	4	-9	"O"	"O"	4	2
124	5	166	4	-9	"O"	"O"	4	2
220	1	199	2	-9	"O"	"M"	4	2
220	1	174	2	-9	"O"	"M"	4	2
66	25	183	4	-9	"O"	"O"	2	4
66	25	188	4	-9	"O"	"O"	2	4
66	25	128	4	-9	"O"	"O"	2	4
66	25	190	4	-9	"O"	"O"	2	4
66	25	178	4	-9	"O"	"O"	2	4
202	1	37	2	-9	"M"	"O"	3	2
202	1	34	2	-9	"M"	"O"	3	2
202	1	57	2	-9	"M"	"O"	3	2
202	1	26	2	-9	"M"	"O"	3	2
202	1	55	2	-9	"M"	"O"	3	2
141	5	197	3	-9	"O"	"O"	4	4
141	5	197	3	-9	"O"	"O"	4	4
141	5	198	3	-9	"O"	"O"	4	4
141	5	198	3	-9	"O"	"O"	4	4
141	5	190	3	-9	"O"	"O"	4	4
165	999	168	4	-9	"O"	"O"	4	4
165	999	166	4	-9	"O"	"O"	4	4
165	999	177	4	-9	"O"	"O"	4	4
165	999	178	4	-9	"O"	"O"	4	4
165	999	144	4	-9	"O"	"O"	4	4
165	17	198	4	-9	"O"	"O"	4	4
165	17	198	4	-9	"O"	"O"	4	4
165	17	186	4	-9	"O"	"O"	4	4
165	17	199	4	-9	"O"	"O"	4	4
165	17	193	4	-9	"O"	"O"	4	4
66	23	195	4	-9	"O"	"O"	2	4
66	23	178	4	-9	"O"	"O"	2	4
66	23	189	4	-9	"O"	"O"	2	4
66	23	165	4	-9	"O"	"O"	2	4
66	23	194	4	-9	"O"	"O"	2	4
203	1	12	2	-9	"M"	"O"	3	2
203	1	13	2	-9	"M"	"O"	3	2
203	1	16	2	-9	"M"	"O"	3	2
203	1	16	2	-9	"M"	"O"	3	2
203	1	20	2	-9	"M"	"O"	3	2
844	5	193	-9	-9	"z"	"z"	"z"	"z"
844	5	197	-9	-9	"z"	"z"	"z"	"z"
844	5	180	-9	-9	"z"	"z"	"z"	"z"
844	5	194	-9	-9	"z"	"z"	"z"	"z"
844	5	196	-9	-9	"z"	"z"	"z"	"z"
200	12	24	2	-9	"M"	"O"	3	4
200	12	43	2	-9	"M"	"O"	3	4
200	12	53	2	-9	"M"	"O"	3	4
200	12	49	2	-9	"M"	"O"	3	4
200	12	43	2	-9	"M"	"O"	3	4
844	12	160	-9	-9	"z"	"z"	"z"	"z"
844	12	174	-9	-9	"z"	"z"	"z"	"z"
844	12	158	-9	-9	"z"	"z"	"z"	"z"
844	12	151	-9	-9	"z"	"z"	"z"	"z"
844	12	177	-9	-9	"z"	"z"	"z"	"z"
209	5	198	2	-9	"O"	"M"	4	2
209	5	197	2	-9	"O"	"M"	4	2
209	5	197	2	-9	"O"	"M"	4	2
209	5	184	2	-9	"O"	"M"	4	2
209	5	200	2	-9	"O"	"M"	4	2
202	6	20	2	-9	"M"	"O"	3	2
202	6	43	2	-9	"M"	"O"	3	2
202	6	55	2	-9	"M"	"O"	3	2
202	6	8	2	-9	"M"	"O"	3	2
202	6	23	2	-9	"M"	"O"	3	2
205	2	18	2	1	"M"	"O"	3	4
205	2	28	2	1	"M"	"O"	3	4
205	2	31	2	1	"M"	"O"	3	4
205	2	19	2	1	"M"	"O"	3	4
205	2	20	2	1	"M"	"O"	3	4
201	4	10	2	-9	"M"	"O"	3	2
201	4	9	2	-9	"M"	"O"	3	2
201	4	7	2	-9	"M"	"O"	3	2
201	4	8	2	-9	"M"	"O"	3	2
201	4	50	2	-9	"M"	"O"	3	2
202	3	14	2	-9	"M"	"O"	3	2
202	3	15	2	-9	"M"	"O"	3	2
202	3	31	2	-9	"M"	"O"	3	2
202	3	40	2	-9	"M"	"O"	3	2
202	3	17	2	-9	"M"	"O"	3	2
200	10	53	2	1	"M"	"O"	3	4
200	10	59	2	1	"M"	"O"	3	4
200	10	56	2	1	"M"	"O"	3	4
200	10	57	2	1	"M"	"O"	3	4
200	10	59	2	1	"M"	"O"	3	4
200	5	20	2	-9	"M"	"O"	3	4
200	5	20	2	-9	"M"	"O"	3	4
200	5	11	2	-9	"M"	"O"	3	4
209	10	191	2	-9	"O"	"M"	4	2
209	10	192	2	-9	"O"	"M"	4	2
209	10	182	2	-9	"O"	"M"	4	2
209	10	192	2	-9	"O"	"M"	4	2
209	10	189	2	-9	"O"	"M"	4	2
21	29	193	4	-9	"O"	"O"	2	2
21	29	189	4	-9	"O"	"O"	2	2
21	29	186	4	-9	"O"	"O"	2	2
21	29	188	4	-9	"O"	"O"	2	2
21	29	190	4	-9	"O"	"O"	2	2
847	1	198	-9	1	"z"	"z"	"z"	"z"
847	1	198	-9	1	"z"	"z"	"z"	"z"
847	1	196	-9	1	"z"	"z"	"z"	"z"
847	1	196	-9	1	"z"	"z"	"z"	"z"
847	1	197	-9	1	"z"	"z"	"z"	"z"
791	14	170	-9	1	"O"	"O"	4	4
791	14	185	-9	1	"O"	"O"	4	4
791	14	110	-9	1	"O"	"O"	4	4
791	14	111	-9	1	"O"	"O"	4	4
791	14	189	-9	1	"O"	"O"	4	4
75	6	179	4	1	"O"	"O"	2	4
75	6	175	4	1	"O"	"O"	2	4
75	6	154	4	1	"O"	"O"	2	4
75	6	139	4	1	"O"	"O"	2	4
75	6	177	4	1	"O"	"O"	2	4
844	422	200	-9	1	"z"	"z"	"z"	"z"
844	422	195	-9	1	"z"	"z"	"z"	"z"
844	422	194	-9	1	"z"	"z"	"z"	"z"
844	422	199	-9	1	"z"	"z"	"z"	"z"
844	422	193	-9	1	"z"	"z"	"z"	"z"
133	20	157	4	-9	"O"	"O"	4	4
133	20	160	4	-9	"O"	"O"	4	4
133	20	156	4	-9	"O"	"O"	4	4
133	20	155	4	-9	"O"	"O"	4	4
794	3	194	-9	1	"z"	"z"	"z"	"z"
794	3	199	-9	1	"z"	"z"	"z"	"z"
794	3	199	-9	1	"z"	"z"	"z"	"z"
794	3	194	-9	1	"z"	"z"	"z"	"z"
794	3	190	-9	1	"z"	"z"	"z"	"z"
846	999	195	-9	1	"z"	"z"	"z"	"z"
846	999	188	-9	1	"z"	"z"	"z"	"z"
846	999	199	-9	1	"z"	"z"	"z"	"z"
846	999	196	-9	1	"z"	"z"	"z"	"z"
847	1	192	-9	2	"z"	"z"	"z"	"z"
847	1	195	-9	2	"z"	"z"	"z"	"z"
847	1	195	-9	2	"z"	"z"	"z"	"z"
847	1	200	-9	2	"z"	"z"	"z"	"z"
847	1	200	-9	2	"z"	"z"	"z"	"z"
791	14	195	-9	2	"O"	"O"	4	4
791	14	199	-9	2	"O"	"O"	4	4
791	14	187	-9	2	"O"	"O"	4	4
791	14	196	-9	2	"O"	"O"	4	4
791	14	198	-9	2	"O"	"O"	4	4
791	14	197	-9	3	"O"	"O"	4	4
791	14	196	-9	3	"O"	"O"	4	4
791	14	197	-9	3	"O"	"O"	4	4
791	14	192	-9	3	"O"	"O"	4	4
791	14	192	-9	3	"O"	"O"	4	4
861	6	195	-9	-9	"z"	"z"	"z"	"z"
861	6	192	-9	-9	"z"	"z"	"z"	"z"
861	6	198	-9	-9	"z"	"z"	"z"	"z"
861	6	189	-9	-9	"z"	"z"	"z"	"z"
861	6	191	-9	-9	"z"	"z"	"z"	"z"
847	1	198	-9	3	"z"	"z"	"z"	"z"
847	1	197	-9	3	"z"	"z"	"z"	"z"
847	1	189	-9	3	"z"	"z"	"z"	"z"
847	1	194	-9	3	"z"	"z"	"z"	"z"
847	1	195	-9	3	"z"	"z"	"z"	"z"
847	5	182	-9	-9	"z"	"z"	"z"	"z"
847	5	196	-9	-9	"z"	"z"	"z"	"z"
847	5	192	-9	-9	"z"	"z"	"z"	"z"
847	5	183	-9	-9	"z"	"z"	"z"	"z"
847	5	199	-9	-9	"z"	"z"	"z"	"z"
209	4	197	2	-9	"O"	"M"	4	2
209	4	200	2	-9	"O"	"M"	4	2
209	4	199	2	-9	"O"	"M"	4	2
209	4	200	2	-9	"O"	"M"	4	2
209	4	200	2	-9	"O"	"M"	4	2
209	3	160	2	-9	"O"	"M"	4	2
209	3	182	2	-9	"O"	"M"	4	2
209	3	181	2	-9	"O"	"M"	4	2
209	3	168	2	-9	"O"	"M"	4	2
209	3	181	2	-9	"O"	"M"	4	2
202	4	14	2	2	"M"	"O"	3	2
202	4	14	2	2	"M"	"O"	3	2
202	4	22	2	2	"M"	"O"	3	2
202	4	15	2	2	"M"	"O"	3	2
202	4	27	2	2	"M"	"O"	3	2
205	2	6	2	2	"M"	"O"	3	4
205	2	21	2	2	"M"	"O"	3	4
205	2	9	2	2	"M"	"O"	3	4
205	2	14	2	2	"M"	"O"	3	4
205	2	12	2	2	"M"	"O"	3	4
209	9	197	2	2	"O"	"M"	4	2
209	9	192	2	2	"O"	"M"	4	2
209	9	192	2	2	"O"	"M"	4	2
209	9	195	2	2	"O"	"M"	4	2
209	9	193	2	2	"O"	"M"	4	2
75	6	192	4	2	"O"	"O"	2	4
75	6	189	4	2	"O"	"O"	2	4
75	6	190	4	2	"O"	"O"	2	4
75	6	186	4	2	"O"	"O"	2	4
75	6	193	4	2	"O"	"O"	2	4
54	17	196	4	-9	"O"	"O"	2	2
54	17	194	4	-9	"O"	"O"	2	2
54	17	195	4	-9	"O"	"O"	2	2
54	17	196	4	-9	"O"	"O"	2	2
54	17	196	4	-9	"O"	"O"	2	2
54	3	198	4	-9	"O"	"O"	2	2
54	3	198	4	-9	"O"	"O"	2	2
54	3	196	4	-9	"O"	"O"	2	2
54	3	198	4	-9	"O"	"O"	2	2
54	3	198	4	-9	"O"	"O"	2	2
54	32	192	4	-9	"O"	"O"	2	2
54	32	183	4	-9	"O"	"O"	2	2
54	32	186	4	-9	"O"	"O"	2	2
54	32	186	4	-9	"O"	"O"	2	2
54	32	189	4	-9	"O"	"O"	2	2
21	10	177	4	-9	"O"	"O"	2	2
21	10	190	4	-9	"O"	"O"	2	2
21	10	192	4	-9	"O"	"O"	2	2
21	10	188	4	-9	"O"	"O"	2	2
21	10	180	4	-9	"O"	"O"	2	2
133	11	170	4	-9	"O"	"O"	4	4
133	11	171	4	-9	"O"	"O"	4	4
133	11	187	4	-9	"O"	"O"	4	4
133	11	185	4	-9	"O"	"O"	4	4
133	11	200	4	-9	"O"	"O"	4	4
54	21	199	4	-9	"O"	"O"	2	2
54	21	199	4	-9	"O"	"O"	2	2
54	21	200	4	-9	"O"	"O"	2	2
54	21	200	4	-9	"O"	"O"	2	2
54	21	199	4	-9	"O"	"O"	2	2
178	13	168	4	-9	"O"	"O"	4	2
178	13	179	4	-9	"O"	"O"	4	2
178	13	180	4	-9	"O"	"O"	4	2
178	13	180	4	-9	"O"	"O"	4	2
178	13	157	4	-9	"O"	"O"	4	2
178	27	197	4	-9	"O"	"O"	4	2
178	27	199	4	-9	"O"	"O"	4	2
178	27	198	4	-9	"O"	"O"	4	2
178	27	195	4	-9	"O"	"O"	4	2
178	27	200	4	-9	"O"	"O"	4	2
178	20	186	4	-9	"O"	"O"	4	2
178	20	186	4	-9	"O"	"O"	4	2
178	20	187	4	-9	"O"	"O"	4	2
178	20	189	4	-9	"O"	"O"	4	2
178	20	180	4	-9	"O"	"O"	4	2
33	24	165	4	-9	"O"	"O"	2	4
33	24	170	4	-9	"O"	"O"	2	4
33	24	164	4	-9	"O"	"O"	2	4
33	24	174	4	-9	"O"	"O"	2	4
