"line","pollnum","cross","hr","momid","dadid","date","collect_date","mid","bottom"
114,83,"SxS","4 hr","842 201-46","842 221F",2020-01-08,2020-01-08,9,3
422,408,,"4 hr","842 201-46","842 221F",2020-01-17,,4,1
423,409,,"24 hr","842 201-46","842 221F",2020-01-17,,9,7
454,442,,"4 hr","842 201-46","842 51-20",2020-01-18,2020-01-18,8,3
455,443,,"24 hr","842 201-46","842 51-20",2020-01-18,2020-01-19,13,11
330,314,,"4 hr","842 201-46","849 61A",2020-01-14,2020-01-14,6,1
331,315,,"24 hr","842 201-46","849 61A",2020-01-14,2020-01-15,9,9
452,440,,"4 hr","842 201-46","950 406-2",2020-01-18,2020-01-18,9,3
453,441,,"24 hr","842 201-46","950 406-2",2020-01-18,2020-01-19,12,11
206,180,"SxS","4 hr","842 221F","842 43A-41",2020-01-10,2020-01-10,4,1
207,181,"SxS","24 hr","842 221F","842 43A-41",2020-01-10,2020-01-11,13,11
109,77,"SxS","4 hr","842 221F","842 86-38",2020-01-08,2020-01-08,5,2
110,78,"SxS","24 hr","842 221F","842 86-38",2020-01-08,2020-01-09,13,12
462,450,,"4 hr","842 221F","849 61A",2020-01-18,2020-01-18,6,2
463,451,,"24 hr","842 221F","849 61A",2020-01-18,2020-01-19,11,9
63,35,"SxM","4 hr","842 221F","950 406-2",2020-01-07,2020-01-07,7,5
64,36,"SxM","24 hr","842 221F","950 406-2",2020-01-07,2020-01-08,9,9
107,75,"SxM","4 hr","842 221F","950 406-2",2020-01-08,2020-01-08,5,0
108,76,"SxM","24 hr","842 221F","950 406-2",2020-01-08,2020-01-09,13,10
334,318,,"4 hr","842 22-4","842 37-4",2020-01-14,2020-01-14,8,2
335,319,,"24 hr","842 22-4","842 37-4",2020-01-14,2020-01-15,6,5
482,472,,"4 hr","842 22-4","842 51-20",2020-01-19,2020-01-19,8,4
483,473,,"24 hr","842 22-4","842 51-20",2020-01-19,2020-01-20,8,8
484,474,,"4 hr","842 22-4","849 122-3",2020-01-19,2020-01-19,8,4
485,475,,"24 hr","842 22-4","849 122-3",2020-01-19,2020-01-20,12,10
332,316,,"4 hr","842 22-4","849 93C",2020-01-14,2020-01-14,5,1
333,317,,"24 hr","842 22-4","849 93C",2020-01-14,2020-01-15,6,4
340,324,,"4 hr","842 37-4","842 51-20",2020-01-14,2020-01-14,5,1
341,325,,"24 hr","842 37-4","842 51-20",2020-01-14,2020-01-15,13,12
342,326,,"4 hr","842 37-4","842 86-38",2020-01-14,2020-01-14,4,1
343,327,,"24 hr","842 37-4","842 86-38",2020-01-14,2020-01-15,12,11
252,230,"SxM","4 hr","842 37-4","849 57-39",2020-01-12,2020-01-12,8,5
253,231,"SxM","24 hr","842 37-4","849 57-39",2020-01-12,2020-01-13,14,11
338,322,,"4 hr","842 37-4","849 61A",2020-01-14,2020-01-14,6,2
339,323,,"24 hr","842 37-4","849 61A",2020-01-14,2020-01-15,9,9
120,91,"SxS","4 hr","842 43A-41","842 201-46",2020-01-08,2020-01-08,8,5
121,92,"SxS","24 hr","842 43A-41","842 201-46",2020-01-08,2020-01-09,11,10
122,93,"SxS","4 hr","842 43A-41","842 51-20",2020-01-08,2020-01-08,8,3
123,94,"SxS","24 hr","842 43A-41","842 51-20",2020-01-08,2020-01-09,11,11
426,412,,"4 hr","842 43A-41","849 4-17",2020-01-17,,7,3
427,413,,"24 hr","842 43A-41","849 4-17",2020-01-17,,11,10
79,51,"SxM","4 hr","842 43A-41","849 93C",2020-01-07,2020-01-07,6,2
80,52,"SxM","24 hr","842 43A-41","849 93C",2020-01-07,2020-01-08,10,9
492,482,,"4 hr","842 51-20","842 201-46",2020-01-19,2020-01-19,8,2
493,483,,"24 hr","842 51-20","842 201-46",2020-01-19,2020-01-20,7,6
490,480,,"4 hr","842 51-20","842 86-38",2020-01-19,2020-01-19,9,3
491,481,,"24 hr","842 51-20","842 86-38",2020-01-19,2020-01-20,13,9
488,478,,"4 hr","842 51-20","849 122-3",2020-01-19,2020-01-19,8,2
489,479,,"24 hr","842 51-20","849 122-3",2020-01-19,2020-01-20,11,10
73,45,"SxM","4 hr","842 51-20","849 61A",2020-01-07,2020-01-07,4,1
74,46,"SxM","24 hr","842 51-20","849 61A",2020-01-07,2020-01-08,10,9
186,159,"SxS","4 hr","842 86-38","842 201-46",2020-01-10,2020-01-10,5,2
187,160,"SxS","24 hr","842 86-38","842 201-46",2020-01-10,2020-01-11,10,9
147,118,"SxS","4 hr","842 86-38","842 22-4",2020-01-09,2020-01-09,11,5
148,119,"SxS","24 hr","842 86-38","842 22-4",2020-01-09,2020-01-10,15,15
70,42,"SxM","24 hr","842 86-38","849 4-17",2020-01-07,2020-01-08,7,7
494,484,,"4 hr","842 86-38","849 4-17",2020-01-19,2020-01-19,10,1
495,485,,"24 hr","842 86-38","849 4-17",2020-01-19,2020-01-20,15,12
248,222,"SxM","4 hr","842 86-38","849 93C",2020-01-12,2020-01-12,7,2
249,223,"SxM","24 hr","842 86-38","849 93C",2020-01-12,2020-01-13,10,10
65,37,"SxM","4 hr","842 B99","849 93C",2020-01-07,2020-01-07,8,5
282,260,"MxS","4 hr","849 122-3","842 43A-41",2020-01-13,2020-01-13,5,2
283,261,"MxS","24 hr","849 122-3","842 43A-41",2020-01-13,2020-01-14,11,9
101,69,"MxS","4 hr","849 122-3","842 51-20",2020-01-08,2020-01-08,4,0
102,70,"MxS","24 hr","849 122-3","842 51-20",2020-01-08,2020-01-09,10,8
444,432,,"4 hr","849 122-3","849 61A",2020-01-18,2020-01-18,7,0
445,433,,"24 hr","849 122-3","849 61A",2020-01-18,2020-01-19,12,9
328,310,,"4 hr","849 122-3 ","842 51-20",2020-01-14,2020-01-14,5,1
329,312,,"24 hr","849 122-3 ","842 51-20",2020-01-14,2020-01-15,10,7
446,434,,"4 hr","849 122-3","849 57-39",2020-01-18,2020-01-18,7,1
447,435,,"24 hr","849 122-3","849 57-39",2020-01-18,2020-01-19,14,13
404,390,,"4 hr","849 4-17","842 37-4",2020-01-16,2020-01-16,6,1
405,391,,"24 hr","849 4-17","842 37-4",2020-01-16,2020-01-17,12,10
97,65,"MxS","4 hr","849 4-17","842 51-20",2020-01-08,2020-01-08,4,2
98,66,"MxS","24 hr","849 4-17","842 51-20",2020-01-08,2020-01-09,11,9
354,338,,"4 hr","849 4-17","849 57-39",2020-01-15,2020-01-15,7,2
355,339,,"24 hr","849 4-17","849 57-39",2020-01-15,2020-01-16,10,9
95,63,"MxM","4 hr","849 4-17","950 406-2",2020-01-08,2020-01-08,7,2
96,64,"MxM","24 hr","849 4-17","950 406-2",2020-01-08,2020-01-09,8,8
470,460,,"4 hr","849 57-39","842 201-46",2020-01-19,2020-01-19,9,2
471,461,,"24 hr","849 57-39","842 201-46",2020-01-19,2020-01-20,12,9
55,26,"MxS","4 hr","849 57-39","842 221F",2020-01-07,2020-01-07,7,3
56,27,"MxS","24 hr","849 57-39","842 221F",2020-01-07,2020-01-08,12,9
466,456,,"4 hr","849 57-39","849 93C",2020-01-19,2020-01-19,6,1
467,457,,"24 hr","849 57-39","849 93C",2020-01-19,2020-01-20,13,12
468,458,,"4 hr","849 57-39","950 501",2020-01-19,2020-01-19,11,4
469,459,,"24 hr","849 57-39","950 501",2020-01-19,2020-01-20,15,14
105,73,"MxS","4 hr","849 61A","842 221F",2020-01-08,2020-01-08,3,0
106,74,"MxS","24 hr","849 61A","842 221F",2020-01-08,2020-01-09,14,12
262,240,"MxS","4 hr","849 61A","842 221F",2020-01-12,2020-01-12,6,1
263,241,"MxS","24 hr","849 61A","842 221F",2020-01-12,2020-01-13,10,9
213,187,"MxS","4 hr","849 61A","842 37-4",2020-01-11,2020-01-11,7,2
214,188,"MxS","24 hr","849 61A","842 37-4",2020-01-11,2020-01-12,7,6
266,244,"MxS","4 hr","849 61A","842 43A-41",2020-01-12,2020-01-12,8,3
267,245,"MxS","24 hr","849 61A","842 43A-41",2020-01-12,2020-01-13,7,6
59,31,"MxM","4 hr","849 61A","950 406-2",2020-01-07,2020-01-07,6,1
60,32,"MxM","24 hr","849 61A","950 406-2",2020-01-07,2020-01-08,8,6
103,71,"MxM","4 hr","849 61A","950 406-2",2020-01-08,2020-01-08,7,2
104,72,"MxM","24 hr","849 61A","950 406-2",2020-01-08,2020-01-09,12,10
320,302,,"4 hr","849 61A","849 4-17",2020-01-14,2020-01-14,6,0
321,303,,"24 hr","849 61A","849 4-17",2020-01-14,2020-01-15,9,8
93,61,"MxS","4 hr","849 93C","842 37-4",2020-01-08,2020-01-08,4,1
94,62,"MxS","24 hr","849 93C","842 37-4",2020-01-08,2020-01-09,8,7
318,300,,"4 hr","849 93C","842 51-20",2020-01-14,2020-01-14,6,1
319,301,,"24 hr","849 93C","842 51-20",2020-01-14,2020-01-15,7,7
51,22,"MxM","4 hr","849 93C","849122-3",2020-01-07,2020-01-07,7,1
52,23,"MxM","24 hr","849 93C","849 122-3",2020-01-07,2020-01-08,10,9
91,59,"MxM","4 hr","849 93C","849 122-3",2020-01-08,2020-01-08,7,3
92,60,"MxM","24 hr","849 93C","849 122-3",2020-01-08,2020-01-09,9,9
374,360,,"4 hr","849 93C","849 122-3",2020-01-15,2020-01-15,4,1
375,361,,"24 hr","849 93C","849 122-3",2020-01-15,2020-01-16,11,7
314,296,,"4 hr","849 93C","849 4-17",2020-01-14,2020-01-14,7,0
315,297,,"24 hr","849 93C","849 4-17",2020-01-14,2020-01-15,12,10
274,252,"MxS","4 hr","950 406-2","842 221F",2020-01-12,2020-01-12,6,3
275,253,"MxS","24 hr","950 406-2","842 221F",2020-01-12,2020-01-13,10,9
89,57,"MxS","4 hr","950 406-2","842 86-38",2020-01-08,2020-01-08,4,1
90,58,"MxS","24 hr","950 406-2","842 86-38",2020-01-08,2020-01-09,10,8
272,250,"MxS","4 hr","950 406-2","842 86-38",2020-01-12,2020-01-12,4,0
273,251,"MxS","24 hr","950 406-2","842 86-38",2020-01-12,2020-01-13,6,5
270,248,"MxM","4 hr","950 406-2","849 4-17",2020-01-12,2020-01-12,3,0
271,249,"MxM","24 hr","950 406-2","849 4-17",2020-01-12,2020-01-13,9,6
53,24,"MxM","4 hr","950 406-2","849 61A",2020-01-07,2020-01-07,10,5
54,25,"MxM","24 hr","950 406-2","849 61A",2020-01-07,2020-01-08,9,8
268,246,"MxM","4 hr","950 406-2","849 61A",2020-01-12,2020-01-12,3,0
269,247,"MxM","24 hr","950 406-2","849 61A",2020-01-12,2020-01-13,10,9
498,497,,"4 hr","849 57C","849 93C",2020-01-24,2020-01-24,6,2
499,498,,"24 hr","849 57C","849 93C",2020-01-24,2020-01-25,13,12
500,501,,"4 hr","849 57C","842 201-46",2020-01-24,2020-01-24,7,1
501,502,,"24 hr","849 57C","842 201-46",2020-01-24,2020-01-25,10,9
502,503,,"4 hr","849 57C","842 215-2",2020-01-24,2020-01-24,6,1
503,504,,"24 hr","849 57C","842 215-2",2020-01-24,2020-01-25,11,10
522,523,,"4 hr","849 57C","849 122-3",2020-01-28,2020-01-28,7,1
523,524,,"24 hr","849 57C","849 122-3",2020-01-28,2020-01-29,10,9
524,525,,"4 hr","849 57C","849 61A",2020-01-28,2020-01-28,9,2
525,526,,"24 hr","849 57C","849 61A",2020-01-28,2020-01-29,10,9
504,505,,"4 hr","842 192-37","842 221F",2020-01-24,2020-01-24,10,1
505,506,,"24 hr","842 192-37","842 221F",2020-01-24,2020-01-25,12,10
506,507,,"4 hr","842 192-37","842 251-6",2020-01-24,2020-01-24,9,1
507,508,,"24 hr","842 192-37","842 251-6",2020-01-24,2020-01-25,14,13
508,509,,"4 hr","842 192-37","849 57C",2020-01-24,2020-01-24,7,1
509,510,,"24 hr","842 192-37","849 57C",2020-01-24,2020-01-25,12,9
510,511,,"4 hr","842 192-37","849 4-17",2020-01-24,2020-01-24,7,1
511,512,,"24 hr","842 192-37","849 4-17",2020-01-24,2020-01-25,9,9
512,513,,"4 hr","849 77-2","849 57-39",2020-01-27,2020-01-27,9,2
513,514,,"24 hr","849 77-2","849 57-39",2020-01-27,2020-01-28,15,14
514,515,,"4 hr","849 77-2","849 93C",2020-01-27,2020-01-27,10,2
515,516,,"24 hr","849 77-2","849 93C",2020-01-27,2020-01-28,11,11
516,517,,"4 hr","849 77-2","842 192-37",2020-01-27,2020-01-27,11,2
517,518,,"24 hr","849 77-2","842 192-37",2020-01-27,2020-01-28,16,14
518,519,,"4 hr","849 77-2","842 43A-41",2020-01-27,2020-01-27,10,3
519,520,,"24 hr","849 77-2","842 43A-41",2020-01-27,2020-01-28,12,11
520,521,,"4 hr","849 77-2","849 61A",2020-01-27,2020-01-27,10,5
521,522,,"24 hr","849 77-2","849 61A",2020-01-27,2020-01-28,13,12
